,taxon,key
191,Rattus rattus,2439270
192,Nelsonia neotomodon,5219812
193,Nelsonia goldmani,5219813
194,Neotoma goldmani,2438452
195,Neotoma melanura,11723692
196,Neotoma albigula,2438454
197,Neotoma magister,2438458
198,Neotoma floridana,2438444
199,Neotoma micropus,2438439
200,Neotoma angustapalata,2438450
201,Neotoma leucodon,4265037
202,Neotoma mexicana,2438447
203,Neotoma ferruginea,8305915
204,Neotoma picta,7787583
205,Neotoma stephensi,2438448
206,Neotoma lepida,2438438
207,Neotoma bryanti,2438451
208,Neotoma insularis,7713944
209,Neotoma devia,2438449
210,Neotoma macrotis,4265036
211,Neotoma fuscipes,2438455
212,Neotoma phenax,2438436
213,Neotoma cinerea,2438437
214,Xenomys nelsoni,2437945
215,Hodomys alleni,2437929
216,Baiomys brunneus,2438864
217,Baiomys musculus,2438865
218,Baiomys taylori,2438866
219,Scotinomys teguina,2439158
220,Ochrotomys nuttalli,2438565
221,Peromyscus crinitus,2438021
222,Peromyscus eremicus,2437981
223,Peromyscus caniceps,2437982
224,Peromyscus fraterculus,4265103
225,Peromyscus eva,2437965
226,Peromyscus avius,2437961
227,Peromyscus dickeyi,2437975
228,Peromyscus merriamii,2438032
229,Peromyscus californicus,2438028
230,Osgoodomys banderanus,2439323
231,Peromyscus gambelli,12006214
232,Peromyscus sejugis,2437992
233,Peromyscus maniculatus,2437967
234,Peromyscus sonoriensis,12149942
235,Peromyscus polionotus,2437996
236,Peromyscus labecula,8419597
237,Peromyscus keeni,2437973
238,Peromyscus melanotis,2437974
239,Peromyscus purepechus,2437961
240,Peromyscus gossypinus,2437988
241,Peromyscus hooperi,2438027
242,Megadontomys thomasi,2438695
243,Megadontomys cryophilus,2438696
244,Megadontomys nelsoni,2438697
245,Peromyscus melanocarpus,2437983
246,Peromyscus perfulvus,2437978
247,Peromyscus melanophrys,2437976
248,Peromyscus megalops,2437962
249,Peromyscus yucatanicus,2437984
250,Peromyscus mexicanus,2438034
251,Peromyscus totontepecus,2437961
252,Peromyscus gymnotis,2438036
253,Peromyscus carolpattonae,11123700
254,Peromyscus guatemalensis,2437968
255,Peromyscus zarhynchus,2437977
256,Peromyscus attwateri,2437970
257,Peromyscus nasutus,2437972
258,Peromyscus amplus,7953612
259,Peromyscus difficilis,2437993
260,Peromyscus felipensis,8055838
261,Peromyscus ochraventer,2438026
262,Peromyscus gratus,2437980
263,Peromyscus truei,2437985
264,Habromys simulatus,2438990
265,Habromys chinanteco,2438988
266,Habromys delicatulus,4265158
267,Habromys ixtlani,4265159
268,Habromys lepturus,2438989
